Start epoch 0/20				
--------------------				
Epoch: [11][350/695]	Loss 2.6681e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [11][400/695]	Loss 2.6711e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [11][450/695]	Loss 2.6731e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [11][500/695]	Loss 2.6746e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [11][550/695]	Loss 2.6749e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [11][600/695]	Loss 2.6747e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [11][650/695]	Loss 2.6737e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.34	
Start epoch 12/20				
--------------------				
Epoch: [12][  0/695]	Loss 2.8620e+00	Acc@1   0.33	IoU   0.33	AP50   0.42
Epoch: [12][ 50/695]	Loss 2.6644e+00	Acc@1   0.39	IoU   0.40	AP50   0.47
Epoch: [12][100/695]	Loss 2.6660e+00	Acc@1   0.39	IoU   0.40	AP50   0.47
Epoch: [12][150/695]	Loss 2.6526e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [12][200/695]	Loss 2.6640e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [12][250/695]	Loss 2.6619e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][300/695]	Loss 2.6646e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][350/695]	Loss 2.6657e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][400/695]	Loss 2.6662e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][450/695]	Loss 2.6686e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][500/695]	Loss 2.6690e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][550/695]	Loss 2.6697e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][600/695]	Loss 2.6696e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [12][650/695]	Loss 2.6698e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.34	
Start epoch 13/20				
--------------------				
Epoch: [13][  0/695]	Loss 2.6619e+00	Acc@1   0.50	IoU   0.42	AP50   0.50
Epoch: [13][ 50/695]	Loss 2.7077e+00	Acc@1   0.37	IoU   0.37	AP50   0.44
Epoch: [13][100/695]	Loss 2.6868e+00	Acc@1   0.37	IoU   0.37	AP50   0.44
Epoch: [13][150/695]	Loss 2.6736e+00	Acc@1   0.39	IoU   0.38	AP50   0.45
Epoch: [13][200/695]	Loss 2.6711e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [13][250/695]	Loss 2.6683e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [13][300/695]	Loss 2.6697e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [13][350/695]	Loss 2.6688e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [13][400/695]	Loss 2.6680e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [13][450/695]	Loss 2.6690e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [13][500/695]	Loss 2.6684e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [13][550/695]	Loss 2.6698e+00	Acc@1   0.40	IoU   0.39	AP50   0.46
Epoch: [13][600/695]	Loss 2.6709e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [13][650/695]	Loss 2.6717e+00	Acc@1   0.40	IoU   0.39	AP50   0.45
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.34	
Start epoch 14/20				
--------------------				
Epoch: [14][  0/695]	Loss 2.5470e+00	Acc@1   0.83	IoU   0.70	AP50   0.83
Epoch: [14][ 50/695]	Loss 2.6561e+00	Acc@1   0.43	IoU   0.43	AP50   0.50
Epoch: [14][100/695]	Loss 2.6591e+00	Acc@1   0.42	IoU   0.42	AP50   0.48
