                    
Epoch: [10][600/695] Loss 2.5022e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [10][650/695] Loss 2.5019e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.31 IoU  0.33 AP50  0.40						
                    
Epoch: [11][ 0/695] Loss 2.5704e+00 Acc@1  0.25 IoU  0.28 AP50  0.33						
Epoch: [11][ 50/695] Loss 2.5035e+00 Acc@1  0.46 IoU  0.43 AP50  0.51						
Epoch: [11][100/695] Loss 2.4909e+00 Acc@1  0.45 IoU  0.43 AP50  0.50						
Epoch: [11][150/695] Loss 2.4912e+00 Acc@1  0.45 IoU  0.42 AP50  0.50						
Epoch: [11][200/695] Loss 2.4898e+00 Acc@1  0.45 IoU  0.43 AP50  0.50						
Epoch: [11][250/695] Loss 2.4865e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [11][300/695] Loss 2.4896e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
Epoch: [11][350/695] Loss 2.4944e+00 Acc@1  0.45 IoU  0.44 AP50  0.51						
Epoch: [11][400/695] Loss 2.4920e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [11][450/695] Loss 2.4912e+00 Acc@1  0.46 IoU  0.44 AP50  0.51						
Epoch: [11][500/695] Loss 2.4920e+00 Acc@1  0.46 IoU  0.44 AP50  0.51						
Epoch: [11][550/695] Loss 2.4938e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [11][600/695] Loss 2.4953e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [11][650/695] Loss 2.4963e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.34 AP50  0.40						
                    
Epoch: [12][ 0/695] Loss 2.5180e+00 Acc@1  0.58 IoU  0.48 AP50  0.58						
Epoch: [12][ 50/695] Loss 2.5255e+00 Acc@1  0.46 IoU  0.43 AP50  0.51						
Epoch: [12][100/695] Loss 2.5241e+00 Acc@1  0.45 IoU  0.42 AP50  0.50						
Epoch: [12][150/695] Loss 2.5090e+00 Acc@1  0.45 IoU  0.42 AP50  0.51						
Epoch: [12][200/695] Loss 2.5063e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [12][250/695] Loss 2.5044e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [12][300/695] Loss 2.5014e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [12][350/695] Loss 2.5003e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [12][400/695] Loss 2.4976e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [12][450/695] Loss 2.4995e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [12][500/695] Loss 2.4980e+00 Acc@1  0.46 IoU  0.43 AP50  0.51						
Epoch: [12][550/695] Loss 2.4953e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [12][600/695] Loss 2.4947e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [12][650/695] Loss 2.4929e+00 Acc@1  0.47 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.34 AP50  0.40						
                    
Epoch: [13][ 0/695] Loss 2.6140e+00 Acc@1  0.33 IoU  0.36 AP50  0.42						
Epoch: [13][ 50/695] Loss 2.5189e+00 Acc@1  0.43 IoU  0.41 AP50  0.48						
Epoch: [13][100/695] Loss 2.5089e+00 Acc@1  0.43 IoU  0.42 AP50  0.49						
Epoch: [13][150/695] Loss 2.5073e+00 Acc@1  0.43 IoU  0.42 AP50  0.50						
Epoch: [13][200/695] Loss 2.4954e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [13][250/695] Loss 2.4982e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [13][300/695] Loss 2.4942e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][350/695] Loss 2.4935e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][400/695] Loss 2.4914e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][450/695] Loss 2.4906e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][500/695] Loss 2.4897e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][550/695] Loss 2.4892e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][600/695] Loss 2.4904e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [13][650/695] Loss 2.4900e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.34 AP50  0.41						
                    
Epoch: [14][ 0/695] Loss 2.3655e+00 Acc@1  0.42 IoU  0.34 AP50  0.42						
Epoch: [14][ 50/695] Loss 2.4913e+00 Acc@1  0.46 IoU  0.43 AP50  0.52						
Epoch: [14][100/695] Loss 2.4943e+00 Acc@1  0.46 IoU  0.43 AP50  0.51						
Epoch: [14][150/695] Loss 2.4862e+00 Acc@1  0.45 IoU  0.43 AP50  0.51						
Epoch: [14][200/695] Loss 2.4841e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][250/695] Loss 2.4844e+00 Acc@1  0.47 IoU  0.44 AP50  0.52						
Epoch: [14][300/695] Loss 2.4857e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][350/695] Loss 2.4842e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][400/695] Loss 2.4848e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][450/695] Loss 2.4861e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][500/695] Loss 2.4838e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][550/695] Loss 2.4861e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][600/695] Loss 2.4881e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [14][650/695] Loss 2.4868e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.33 AP50  0.40						
                    
Epoch: [15][ 0/695] Loss 2.4387e+00 Acc@1  0.70 IoU  0.61 AP50  0.70						
Epoch: [15][ 50/695] Loss 2.4573e+00 Acc@1  0.48 IoU  0.46 AP50  0.55						
Epoch: [15][100/695] Loss 2.4732e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][150/695] Loss 2.4760e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][200/695] Loss 2.4736e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][250/695] Loss 2.4800e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
Epoch: [15][300/695] Loss 2.4824e+00 Acc@1  0.46 IoU  0.44 AP50  0.52						
